학교명,학교급구분,설립형태,소재지도로명주소,위도,경도,변경일자
동덕여자고등학교,고등학교,사립,서울특별시 서초구 효령로2길 123-5,37.47583666,126.991995,2025-10-25
휘경여자고등학교,고등학교,사립,서울특별시 동대문구 한천로 247,37.58190052,127.0674341,2025-10-25
경희초등학교,초등학교,사립,서울특별시 동대문구 경희대로 26,37.59394914,127.054891,2025-10-25
가락고등학교,고등학교,공립,서울특별시 송파구 송이로 42,37.50107579,127.1164258,2025-10-25
서울하늘초등학교,초등학교,공립,서울특별시 마포구 월드컵북로 502-14,37.5858088,126.8808619,2025-10-25
오류고등학교,고등학교,사립,서울특별시 구로구 오리로21길 2,37.50035507,126.827683,2025-10-25
신림고등학교,고등학교,공립,서울특별시 관악구 문성로 119,37.47921049,126.9169672,2025-10-25
강남중학교,중학교,공립,서울특별시 동작구 대방동15길 29,37.50276263,126.9233466,2025-10-25
한천중학교,중학교,공립,서울특별시 노원구 공릉로 265,37.63131395,127.0724683,2025-10-25
강현중학교,중학교,공립,서울특별시 동작구 상도로13라길 22,37.50311599,126.9307563,2025-10-25
경희여자고등학교,고등학교,사립,서울특별시 동대문구 경희대로 26,37.59394914,127.054891,2025-10-25
청원중학교,중학교,사립,서울특별시 노원구 한글비석로 506,37.66525155,127.0625329,2025-10-25
서울동일초등학교,초등학교,공립,서울특별시 노원구 한글비석로 566,37.66481537,127.05417,2025-10-25
동양고등학교,고등학교,사립,서울특별시 강서구 허준로 50,37.56901968,126.8470811,2025-10-25
미림마이스터고등학교,고등학교,사립,서울특별시 관악구 호암로 546,37.4661018,126.9319279,2025-10-25
관악중학교,중학교,공립,서울특별시 관악구 남부순환로237길 60,37.48125828,126.9619123,2025-10-25
영파여자중학교,중학교,사립,서울특별시 송파구 올림픽로 565,37.53273562,127.1197395,2025-10-25
동작중학교,중학교,공립,서울특별시 동작구 동작대로39가길 83,37.49546195,126.9778016,2025-10-25
대성중학교,중학교,사립,서울특별시 은평구 갈현로29길 51-24,37.62314228,126.9097907,2025-10-25
문현중학교,중학교,공립,서울특별시 송파구 충민로 99,37.48058417,127.1279464,2025-10-25
서울숭신초등학교,초등학교,공립,서울특별시 성동구 마장로 161,37.56781934,127.0278897,2025-10-25
동작고등학교,고등학교,공립,서울특별시 동작구 솔밭로 51,37.48260194,126.9650863,2025-10-25
이화여자대학교사범대학부속이화·금란중학교,중학교,사립,서울특별시 서대문구 성산로 520,37.56264282,126.9444886,2025-10-25
서울신영초등학교,초등학교,공립,서울특별시 영등포구 도신로4길 32,37.50100602,126.8960948,2025-10-25
신구중학교,중학교,공립,서울특별시 강남구 압구정로36길 17,37.52744229,127.0316727,2025-10-25
한가람고등학교,고등학교,사립,서울특별시 양천구 목동서로 15,37.53746204,126.8840075,2025-10-25
신림중학교,중학교,공립,서울특별시 관악구 신림로 40,37.47032734,126.946004,2025-10-25
국사봉중학교,중학교,공립,서울특별시 동작구 양녕로20길 20,37.49353263,126.9440557,2025-10-25
서울문정초등학교,초등학교,공립,서울특별시 송파구 문정로5길 20,37.48907284,127.1290135,2025-10-25
상계중학교,중학교,공립,서울특별시 노원구 노원로 398,37.65260154,127.0689222,2025-10-25
서울거원초등학교,초등학교,공립,서울특별시 송파구 양산로2길 26,37.48762503,127.144909,2025-10-25
